沈说|1|https://api.popcat.xyz/oogway?text=同学们，qden
生气了|1|https://api.memegen.link/images/custom/_/qden.png?background=https://i.imgur.com/OJTYGD6.png
red eye|1|https://api.memegen.link/images/custom/_/qden.png?background=https://i.imgur.com/GFMlQpN.png
stalker|1|https://api.memegen.link/images/custom/qden/_.png?background=https://i.imgur.com/1L2zjUy.png
辱华|1|https://api.memegen.link/images/custom/_/qden.png?background=https://i.imgur.com/IcRD16v.png
chopstick|1|https://api.memegen.link/images/custom/_/qden.png?background=https://i.imgur.com/VNRx037.png
diam|1|https://apimeme.com/meme?meme=10-Guy&top=qden&bottom=can+u+diam
shut up|1|https://apimeme.com/meme?meme=Shut-Up-And-Take-My-Money-Fry&top=qden&bottom=shut+up+and+take+my+money
no peace|1|https://apimeme.com/meme?meme=Putin&top=qden&bottom=peace+was+never+an+option
brilliant|1|https://apimeme.com/meme?meme=Think&top=&bottom=qden
mozart|1|https://apimeme.com/meme?meme=Mozart-Not-Sure&top=Mozart%3A&bottom=qden
上帝说|1|https://apimeme.com/meme?meme=God&top=qden&bottom=shang+di+ai+ni
cool obama|1|https://apimeme.com/meme?meme=Cool-Obama&top=qden&bottom=cooool
ffffffffffffffffffff|1|https://apimeme.com/meme?meme=FFFFFFFUUUUUUUUUUUU&top=&bottom=qden
biden| 1|https://api.popcat.xyz/biden?text=qden
pikachu| 1|https://api.popcat.xyz/pikachu?text=qden
very sad| 1|https://api.popcat.xyz/sadcat?text=qden
caution| 1|https://api.popcat.xyz/caution?text=qden
facts| 1|https://api.popcat.xyz/facts?text=qden
komunis|4|https://api.popcat.xyz/communism?image=qden
jail|4|https://api.popcat.xyz/jail?image=qden
sayang|4|https://api.popcat.xyz/pet?image=qden
ad|4|https://api.popcat.xyz/ad?image=qden
clown|4|https://api.popcat.xyz/clown?image=qden
invade|4|https://api.popcat.xyz/uncover?image=qden
abu|2|https://lmjaedentai.github.io/abu/
gay|2|https://lmjaedentai.github.io/april/
lagi gay|2|https://nextcord.gay
emotional damage|2|https://media.tenor.com/DJzXAnJQHm8AAAAC/steven-he-emotional-damage-steven-he.gif
dont touch|3|shau()
cats| 3|f"http.cat/{random.choice([100,101,102,200,201,202,203,204,206,207,300,301,302,303,304,305,307,308,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,420,421,422,423,424,425,426,429,431,444,450,451,497,498,499,500,501,502,503,504,506,507,508,509,510,511,521,522,523,525,599])}"
rainbow| 0|https://i.imgur.com/DuB3YyZ.png
nono color| 0|https://www.aixiaola.com/wp-content/uploads/2021/10/c4d36f57bf4cc6e7d0c979398822a755.jpg
no color pills| 0|https://img.youxi369.com/article/contents/2021/09/30/small_2021093041011706.jpg
therapist| 0|https://truth.bahamut.com.tw/s01/202109/6658b57ae9aee50152692cbd71222066.JPG
go jail| 0|https://cdn.hk01.com/di/media/images/dw/20211025/529294578378346496210749.png/Ius3SpY28ZbfQ-GPJi_kJPLI8KbpH7JhlC8qeJQvKng?v=w1920
he go jail by himself| 0|https://i.imgur.com/ROnmLbi.png
very very color| 0|https://img.league-funny.com/imgur/163421235519_n.jpg
anti color| 0|https://pic1.zhimg.com/v2-93a878f9b7e6df2e7cf5f840ef30af38_b.jpg
.id|3|message.reply(message.chat.id)
.err|3|this_is_an_error
.shutdown|3|shutdown(client,message)
